"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Returns the ids of the bookings by full name","1723","Returns bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Creates a new auth token to use for access to the PUT and DELETE /booking","195","Creates a new auth token with valid credentials","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Gets bad credentials error when trying to create a token with an incorrect password","163","Gets bad credentials error when trying to create a token with an incorrect password","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithIncorrectPassword"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","3333","Deletes a booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"Returns not found booking by an unexist id","207","Returns not found booking by an unexist id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
"Creates a new booking in the API","495","Creates a new booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
"Full updates a current booking","963","Full updates a current booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
"Returns not found the bookings by full name","209","Returns not found the bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Returns the ids of all the bookings that exist within the API","571","Returns all bookings ids","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
"Returns a specific booking based upon the booking id provided","799","Returns a booking by id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Try to delete bookings without an auth token","725","Try to delete bookings without an auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"A simple health check endpoint to confirm whether the API is up and running.","184","Gets health check endpoint","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Updates a current booking with a partial payload: price and booking dates","716","Partial updates a current booking by price and booking dates","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
